日付,種類,金額,カテゴリ,メモ
2024/12/03,収入,97568,給与,振込 ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2024/12/07,支出,220,手数料,手数料
2024/12/07,支出,50000,現金入出金,振替: 郵便局 (9940-6010)
2024/12/07,支出,50000,現金入出金,振替: 郵便局 (9940-6010)
2024/12/08,支出,220,手数料,手数料
2024/12/08,支出,20000,現金入出金,振替: 郵便局 (9940-6010)
2024/12/08,支出,20000,現金入出金,振替: 郵便局 (9940-6010)
2024/12/09,支出,220,手数料,手数料
2024/12/09,支出,28500,個人送金,送金 ib ｶﾝﾄｳｱｲﾃｲｿ
2024/12/09,支出,80000,現金入出金,振替: ｶ-ﾄﾞ lans-220267
2024/12/09,支出,80000,現金入出金,振替: ｶ-ﾄﾞ lans-220267
2024/12/10,支出,1628,水道光熱費,水道 ｽｲﾄﾞｳ11ﾂｷﾌﾞﾝ
2024/12/10,支出,78045,カード引落,振替 dｶ-ﾄﾞ
2024/12/18,支出,220,手数料,手数料
2024/12/18,支出,90000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2024/12/18,支出,90000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2024/12/20,支出,7406,水道光熱費,ｶﾞｽ ｵｵｻｶｶﾞｽ(ｶ)
2024/12/21,支出,220,手数料,手数料
2024/12/21,支出,40000,現金入出金,振替: ｶ-ﾄﾞ lans-252379
2024/12/21,支出,40000,現金入出金,振替: ｶ-ﾄﾞ lans-252379
2024/12/24,収入,128058,給与,振込 ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2024/12/27,支出,17283,奨学金返済,返済金 ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2024/12/27,支出,95310,家賃,振替 ｴﾎﾟｽｶ-ﾄﾞ
2024/12/27,支出,220,手数料,手数料
2024/12/27,支出,20000,個人送金,送金 ib ｲﾊﾗ ｼﾖｳﾀﾛ
2024/12/27,支出,165,手数料,手数料
2024/12/27,支出,20000,個人送金,送金 ib ｲﾊﾗ ｼﾖｳﾀﾛ
2024/12/27,支出,165,手数料,手数料
2024/12/27,支出,90000,現金入出金,振替: 郵便局 (9940-6010)
2024/12/27,支出,90000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/09,支出,220,手数料,手数料
2025/01/09,支出,28500,個人送金,送金 ib ｶﾝﾄｳｱｲﾃｲｿ
2025/01/09,支出,100000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2025/01/09,支出,100000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2025/01/10,支出,58704,カード引落,振替 dｶ-ﾄﾞ
2025/01/10,支出,498,デリバリー,Uber Eats (支払い)
2025/01/10,収入,2,ポイント還元,Uber Eats (ポイント、残高の獲得)
2025/01/11,支出,220,手数料,手数料
2025/01/11,支出,20000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/11,支出,20000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/13,支出,220,手数料,手数料
2025/01/13,支出,166000,個人送金,送金 ib ｲﾊﾗ ｹﾞﾝｷ
2025/01/13,支出,220,手数料,手数料
2025/01/13,支出,260000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2025/01/13,支出,260000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1113520
2025/01/13,支出,15000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/13,支出,15000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/13,支出,16000,現金入出金,振替: PayPay (チャージ)
2025/01/13,支出,16000,現金入出金,振替: PayPay (チャージ)
2025/01/13,支出,11000,個人送金,マサナリ (送った金額)
2025/01/13,支出,3750,個人送金,健志郎 (送った金額)
2025/01/14,支出,100000,個人送金,送金 ib ｻﾉ ﾕｳﾀﾞｲ
2025/01/15,支出,1628,水道光熱費,水道 ｽｲﾄﾞｳ12ﾂｷﾌﾞﾝ
2025/01/24,支出,220,手数料,手数料
2025/01/24,支出,5000,現金入出金,振替: ｶ-ﾄﾞ lans-257786
2025/01/24,支出,5000,現金入出金,振替: ｶ-ﾄﾞ lans-257786
2025/01/26,支出,220,手数料,手数料
2025/01/26,支出,113000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/26,支出,113000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/27,支出,17283,奨学金返済,返済金 ﾆﾎﾝｶﾞｸｾｲｼｴﾝｷ
2025/01/27,支出,95310,家賃,振替 ｴﾎﾟｽｶ-ﾄﾞ
2025/01/28,収入,73176,給与,振込 ｼﾖｸｷﾞﾖｳｱﾝﾃｲｷ
2025/01/29,支出,10000,個人送金,送金 ib ｲﾊﾗ ｼﾖｳﾀﾛ
2025/01/29,支出,165,手数料,手数料
2025/01/30,支出,220,手数料,手数料
2025/01/30,支出,220,手数料,手数料
2025/01/30,支出,70000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/30,支出,70000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/30,支出,5000,現金入出金,振替: 郵便局 (9940-6010)
2025/01/30,支出,5000,現金入出金,振替: 郵便局 (9940-6010)
2025/02/03,支出,9543,水道光熱費,ｶﾞｽ ｵｵｻｶｶﾞｽ(ｶ)
2025/02/03,収入,1000,ポイント還元,Yahoo!ショッピング (ポイント、残高の獲得)
2025/02/06,支出,220,手数料,手数料
2025/02/06,支出,28500,個人送金,送金 ib ｶﾝﾄｳｱｲﾃｲｿ
2025/02/06,支出,30000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1136204
2025/02/06,支出,30000,現金入出金,振替: ｶ-ﾄﾞ ｾﾌﾞﾝ-1136204
2025/02/09,支出,220,手数料,手数料
2025/02/09,支出,174000,現金入出金,振替: 郵便局 (9940-6010)
2025/02/09,支出,174000,現金入出金,振替: 郵便局 (9940-6010)
2025/02/10,支出,171837,カード引落,振替 dｶ-ﾄﾞ
2025/02/10,支出,498,デリバリー,Uber Eats (支払い)
2025/02/10,収入,2,ポイント還元,Uber Eats (ポイント、残高の獲得)
2025/02/12,支出,1639,水道光熱費,水道 ｽｲﾄﾞｳ01ﾂｷﾌﾞﾝ
2025/02/15,収入,16,利息,利息 07-02-14ﾏﾃﾞ
2025/02/20,支出,220,手数料,手数料
2025/02/20,収入,134700,給与,振込 anypass
2025/02/20,支出,15000,現金入出金,振替: 郵便局 (9940-6010)
2025/02/20,支出,15000,現金入出金,振替: 郵便局 (9940-6010)
2025/02/21,支出,14147,水道光熱費,ｶﾞｽ ｵｵｻｶｶﾞｽ(ｶ)
2025/02/21,支出,130000,個人送金,送金 ib ﾌｼﾞｻﾜ ﾅﾁ
2025/02/25,支出,6000,個人送金,送金 ib ｲﾊﾗ ｼﾖｳﾀﾛ
2025/02/25,支出,165,手数料,手数料
2025/02/26,支出,220,手数料,手数料
